,Team,Weighted Matches,Points,Raiting
0,Pakistan,26,"7,365",283
1,England,16,"4,253",266
2,South Africa,16,"4,196",262
3,Australia,21,"5,471",261
4,India,28,"7,273",260
5,New Zealand,16,"4,056",254
6,Afghanistan,16,"3,849",241
7,Sri Lanka,18,"4,093",227
8,West Indies,21,"4,747",226
9,Bangladesh,16,"3,525",220
10,Nepal,8,"1,698",212
11,Scotland,11,"2,185",199
12,Zimbabwe,9,"1,730",192
13,Netherlands,9,"1,686",187
14,Ireland,19,"3,455",182
15,UAE,14,"2,527",181
16,Papua New Guinea,17,"2,920",172
17,Oman,5,774,155
18,Hong Kong,8,"1,213",152
19,Namibia,9,"1,273",141
20,Qatar,11,"1,421",129
21,Saudi Arabia,11,"1,331",121
22,Singapore,10,"1,181",118
23,Denmark,7,813,116
24,Canada,8,887,111
25,Jersey,8,851,106
26,Kuwait,7,727,104
27,Ghana,6,602,100
28,Kenya,9,851,95
29,Botswana,12,"1,120",93
30,United States,9,758,84
31,Austria,6,439,73
32,Malaysia,12,877,73
33,Germany,11,774,70
34,Guernsey,8,546,68
35,Uganda,10,678,68
36,Sweden,8,465,58
37,Tanzania,6,334,56
38,Nigeria,7,383,55
39,Luxembourg,6,328,55
40,Spain,9,479,53
41,Philippines,9,433,48
42,France,6,267,45
43,Belize,9,377,42
44,Peru,9,356,40
45,Bahrain,7,261,37
46,Mexico,12,426,36
47,Fiji,6,210,35
48,Samoa,6,205,34
49,Vanuatu,10,330,33
50,Panama,9,291,32
51,Belgium,9,290,32
52,Japan,10,317,32
53,Costa Rica,8,252,32
54,Thailand,10,313,31
55,Argentina,12,370,31
56,Hungary,6,180,30
57,Mozambique,12,352,29
58,Chile,10,249,25
59,Malawi,12,297,25
60,Israel,7,173,25
61,Bhutan,8,180,23
62,Finland,8,177,22
63,South Korea,10,217,22
64,Isle of Man,7,149,21
65,Malta,11,158,14
66,Bulgaria,5,68,14
67,Sierra Leone,5,61,12
68,Brazil,9,108,12
69,Czech Republic,10,91,9
70,Saint Helena,12,109,9
71,Maldives,8,63,8
72,Gibraltar,8,35,4
73,Myanmar,9,23,3
74,Indonesia,7,3,0
75,Lesotho,6,0,0
76,Rwanda,6,0,0
77,Swaziland,6,0,0
78,Gambia,6,0,0
79,China,11,0,0
